eps_ms,topology,mechanism,n_instances,feasible_fraction_mean,feasible_fraction_ci_low,feasible_fraction_ci_high,feasible_fraction_n,feasible_opt_coverage_mean,feasible_opt_coverage_ci_low,feasible_opt_coverage_ci_high,feasible_opt_coverage_n,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,welfare_ratio_all_mean,welfare_ratio_all_ci_low,welfare_ratio_all_ci_high,welfare_ratio_all_n,welfare_ratio_feasible_mean,welfare_ratio_feasible_ci_low,welfare_ratio_feasible_ci_high,welfare_ratio_feasible_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,revenue_ratio_all_mean,revenue_ratio_all_ci_low,revenue_ratio_all_ci_high,revenue_ratio_all_n,revenue_ratio_feasible_mean,revenue_ratio_feasible_ci_low,revenue_ratio_feasible_ci_high,revenue_ratio_feasible_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,INTERNET-100,LIA_lambda2_per_s,17500,0.9501806666666667,0.9495035190476191,0.9508502166666667,17500,0.9975903176800549,0.9973190891285533,0.9978509891442301,17500,0.9971103822190327,0.9968383090454652,0.9973747644465905,17500,0.9971103822190327,0.9968345350902995,0.997372037931915,17500,0.9995194412133891,0.9994879787087745,0.9995505041791757,17500,0.9488179360785532,0.9478806460749275,0.9497542378895957,17500,0.9488179360785532,0.9478644931016565,0.9497405960080344,17500,0.9510606841141722,0.9501475841829846,0.9519441504845896,17500,5.9131836252553124e-06,5.876993463773813e-06,5.9498246080641235e-06,17500,15.882872184216653,15.875640758138243,15.890169722087505,17500,953.1380551083245,952.3083330703394,953.9492561928379,17500,28.505942857142855,28.309597142857143,28.70520142857143,17500
0.0,INTERNET-100,SyncVCG,17500,0.9501806666666667,0.9494790476190477,0.9508614523809524,17500,0.9975903176800549,0.9973183062642828,0.997850761361205,17500,0.9975903176800549,0.9973225479754199,0.9978483935933434,17500,0.9975903176800549,0.9973196697124951,0.9978498716411188,17500,1.0,1.0,1.0,17500,0.9498083652508237,0.9488659258012359,0.950737377286938,17500,0.9498083652508237,0.9488486930055006,0.9507552273941453,17500,0.9520552760375339,0.9511358657630231,0.9529479786013191,17500,2.4094718375376294e-06,2.3914250185979265e-06,2.4280515698982133e-06,17500,16.05684367411263,16.052488444914182,16.06109271786849,17500,953.5847033368169,952.7774196710261,954.4157632052617,17500,28.505942857142855,28.307255714285713,28.702404285714287,17500
0.0,STARLINK-200,BatchVCG_B10ms,17500,0.9491262857142857,0.9484296904761905,0.9498259119047618,17500,0.9975345329883649,0.9972723254304403,0.9977889780883085,17500,0.7018923046563463,0.6979477230764313,0.7058720071019241,17500,0.7018923046563463,0.6979419294574047,0.7058232725712571,17500,0.7035666224989939,0.6995604216682585,0.7075282221752532,17500,0.3604002283878473,0.3556562562292089,0.3651124212199773,17500,0.3604002283878473,0.3556263331461815,0.36507692975637396,17500,0.361172322785693,0.3564689529639485,0.36584678290106365,17500,1.4880535858018057e-06,1.4769363656107869e-06,1.502021084140454e-06,17500,33.23896618543042,33.097503736983846,33.37950308450613,17500,669.5141250022656,665.7027382429591,673.2428047730373,17500,28.477942857142857,28.278114285714285,28.678745714285714,17500
0.0,STARLINK-200,BatchVCG_B1ms,17500,0.9491262857142857,0.948422269047619,0.9498183023809524,17500,0.9975345329883649,0.997268733555508,0.9977780086861033,17500,0.5404667443196314,0.5360503302949139,0.5448196584231056,17500,0.5404667443196314,0.5360286376422833,0.5447966817522994,17500,0.5417872661325583,0.537358083900323,0.5462521377134404,17500,0.03782930799508523,0.035819904014792035,0.0398772051155859,17500,0.03782930799508523,0.0358325106908852,0.03983939076614111,17500,0.037913950901844885,0.03589721467034011,0.03996090067019729,17500,1.391343932066645e-06,1.3846750876733234e-06,1.397992843495948e-06,17500,24.23922245475511,24.100680699244904,24.378047979012536,17500,515.6680483505381,511.2636956238125,519.8636874246488,17500,28.477942857142857,28.280564285714284,28.68046,17500
0.0,STARLINK-200,BatchVCG_B20ms,17500,0.9491262857142857,0.9484253214285714,0.9498363880952381,17500,0.9975345329883649,0.9972816366549296,0.9977852475467069,17500,0.8403912697226927,0.8374339010920274,0.843314324844402,17500,0.8403912697226927,0.8374081957935678,0.8433012483064629,17500,0.842459930929658,0.8395478316944893,0.8454387906075347,17500,0.6344538582895046,0.63032377153588,0.6387147368078644,17500,0.6344538582895046,0.6302777090920658,0.6385712746989487,17500,0.6358605924405681,0.6317776335020815,0.6400269948153517,17500,1.7088627708809716e-06,1.6995986883661576e-06,1.7181204046521868e-06,17500,43.21348808340254,43.07331352831814,43.352873967378045,17500,801.1431868962393,798.3210401534143,804.0067007456486,17500,28.477942857142857,28.27777,28.673087142857145,17500
0.0,STARLINK-200,BatchVCG_B50ms,17500,0.9491262857142857,0.9484346547619047,0.9498234833333333,17500,0.9975345329883649,0.9972754628417376,0.9977869940660169,17500,0.9925227924753586,0.9920524984891381,0.9929806756707776,17500,0.9925227924753586,0.9920586951319179,0.9929849187295712,17500,0.9949757895232066,0.9945795003306479,0.995351086636592,17500,0.9388689897942634,0.9377673479836299,0.9399553157698686,17500,0.9388689897942634,0.937758386599631,0.9399570520868865,17500,0.9411317216460107,0.9400661940472099,0.9422126833949347,17500,2.5612644851207735e-06,2.5460857352507964e-06,2.5760384489383017e-06,17500,66.91467981187054,66.86375470336826,66.96468424084523,17500,943.7401459998895,942.8479145911122,944.6239998302249,17500,28.477942857142857,28.273942857142856,28.680231428571428,17500
0.0,STARLINK-200,BatchVCG_B5ms,17500,0.9491262857142857,0.9484388547619048,0.9498059523809523,17500,0.9975345329883649,0.9972773053267442,0.9977852169228171,17500,0.613469092110507,0.6090728627005944,0.6177270813629706,17500,0.613469092110507,0.6091063313503374,0.6177130132352996,17500,0.6149326636444051,0.6107594967176427,0.619191327525544,17500,0.1870084240213405,0.1829631426948244,0.1910756819247126,17500,0.1870084240213405,0.1830012527088803,0.19108353283410873,17500,0.18741133407498198,0.18346352967164642,0.19144711400514017,17500,1.4182183359350477e-06,1.4109136337148292e-06,1.4256316157323972e-06,17500,28.239249329158987,28.098215659092542,28.37954494668892,17500,585.3252105240423,581.2475587395168,589.442281426927,17500,28.477942857142857,28.275085714285716,28.681545714285715,17500
0.0,STARLINK-200,FastVCG,17500,0.9491262857142857,0.9484235880952381,0.9498320142857142,17500,0.9975345329883649,0.9972788326260084,0.9977853351301342,17500,0.523131998928374,0.5186818529766823,0.5275729288905879,17500,0.523131998928374,0.5186701139234317,0.5276508652397602,17500,0.5244343864613165,0.5200515400122463,0.5288246071853403,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,0.0,0.0,0.0,17500,1.3913835797991072e-06,1.3850526165749346e-06,1.3976662925311497e-06,17500,23.239222494402846,23.100268909516217,23.37596112771933,17500,499.10523456962216,494.89967118011697,503.321497109071,17500,28.477942857142857,28.277768571428574,28.675662857142857,17500
0.0,STARLINK-200,HoldBack,17500,0.9491262857142857,0.9484276761904763,0.949823619047619,17500,0.9975345329883649,0.9972799684260384,0.9977857773932359,17500,0.9975345329883649,0.9972683004835565,0.9977853534970109,17500,0.9975345329883649,0.997271130138467,0.9977908167271304,17500,1.0,1.0,1.0,17500,0.9491102803107765,0.9481691055451624,0.9500393954960833,17500,0.9491102803107765,0.9481667991294954,0.9500257041503947,17500,0.9513945446026016,0.9505061672294454,0.9522942312178663,17500,1.817192030804498e-06,1.8049329545881066e-06,1.8293019237795046e-06,17500,68.78774735268158,68.77209081800967,68.80305914385302,17500,948.3515112262589,947.543933543454,949.1588181354475,17500,28.477942857142857,28.278341428571427,28.67332142857143,17500
0.0,STARLINK-200,LIA_lambda0.5_per_s,17500,0.9491262857142857,0.948429619047619,0.9498145785714287,17500,0.9975345329883649,0.9972761193439027,0.9977799878698107,17500,0.9971059829894395,0.9968480586017643,0.9973585006285985,17500,0.9971059829894395,0.9968457885183492,0.9973584143982388,17500,0.9995706785549734,0.9995423592961975,0.9995993897960551,17500,0.9482238722693682,0.9472838198941754,0.9491629043866995,17500,0.9482238722693682,0.9472684065935874,0.9491613895864739,17500,0.9505063907021266,0.9495718509657229,0.9514222802425629,17500,6.1461025050708225e-06,6.0222611177180495e-06,6.3627109450421165e-06,17500,68.10929874172278,68.08440027576907,68.13395490618578,17500,948.0026746865917,947.1891940423162,948.8238270520784,17500,28.477942857142857,28.28673857142857,28.678747142857144,17500
