eps_ms,topology,bidder_count,mechanism,n_instances,feasible_fraction_mean,feasible_fraction_ci_low,feasible_fraction_ci_high,feasible_fraction_n,feasible_opt_coverage_mean,feasible_opt_coverage_ci_low,feasible_opt_coverage_ci_high,feasible_opt_coverage_n,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,welfare_ratio_all_mean,welfare_ratio_all_ci_low,welfare_ratio_all_ci_high,welfare_ratio_all_n,welfare_ratio_feasible_mean,welfare_ratio_feasible_ci_low,welfare_ratio_feasible_ci_high,welfare_ratio_feasible_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,revenue_ratio_all_mean,revenue_ratio_all_ci_low,revenue_ratio_all_ci_high,revenue_ratio_all_n,revenue_ratio_feasible_mean,revenue_ratio_feasible_ci_low,revenue_ratio_feasible_ci_high,revenue_ratio_feasible_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,20,LIA_lambda2_per_s,3500,0.9300714285714285,0.9282142857142858,0.9319428571428571,3500,0.9959757348997854,0.995296204795895,0.9966125416320114,3500,0.8683052468084235,0.8627607959057471,0.873691919352398,3500,0.8683052468084235,0.8626999593758962,0.8737674561292106,3500,0.8717305079958524,0.8661510592345111,0.8771229548478274,3500,0.6865818810853557,0.6789725693266817,0.6940329923608805,3500,0.6865818810853557,0.6790501604253905,0.6938866311540707,3500,0.689098583028646,0.6814009551597231,0.69654309285831,3500,4.136495026094573e-06,4.1219054322157584e-06,4.151944184143629e-06,3500,1195164.5105054388,1195054.3376767752,1195246.06518849,3500,8.665000236274643e-48,1.01682977551956e-49,2.576646973578376e-47,3500,18.60142857142857,18.564,18.637428571428572,3500
0.0,DSN-30,20,SyncVCG,3500,0.9300714285714285,0.9281857142857142,0.9319571428571427,3500,0.9959757348997854,0.9953070332880936,0.996618154946095,3500,0.9959757348997854,0.995298140021224,0.9966086822820033,3500,0.9959757348997854,0.9953092225895672,0.9966122441838985,3500,1.0,1.0,1.0,3500,0.9412514623396465,0.9393323431155652,0.9431236620516881,3500,0.9412514623396465,0.939367437625631,0.943137902782256,3500,0.9450152512374789,0.9432266890507407,0.9467358192974294,3500,1.7824369881834303e-06,1.7621481724615606e-06,1.8045349911387478e-06,3500,1195222.7650846418,1195179.2793065514,1195254.675037356,3500,1.219716715919337e-49,1.1694441416390128e-49,1.2919427292015915e-49,3500,18.60142857142857,18.564285714285713,18.638285714285715,3500
0.0,DSN-30,30,BatchVCG_B10ms,3500,0.9304476190476192,0.9288854761904763,0.9320000000000002,3500,0.9979523723385528,0.9975726251518782,0.9983125651248246,3500,0.5146025658934893,0.5050722308966415,0.5243412363920795,3500,0.5146025658934893,0.5046716766025234,0.5244071018822165,3500,0.5156271683554713,0.5059569753559395,0.5254303442290726,3500,0.00016779322871313308,0.0,0.0005033796861393993,3500,0.00016779322871313308,0.0,0.0005033796861393993,3500,0.00017369802749812196,0.0,0.0005210940824943659,3500,1.3299424733434405e-06,1.325496532289045e-06,1.3352875597774981e-06,3500,91611.06559895395,88707.7637701027,94464.73592033182,3500,44.43212108930205,40.70127796368193,48.14513584625489,3500,27.91342857142857,27.867142857142856,27.96,3500
0.0,DSN-30,30,BatchVCG_B1ms,3500,0.9304476190476192,0.9288761904761906,0.9320000000000002,3500,0.9979523723385528,0.9975704746361438,0.9983082607332363,3500,0.5146025658934893,0.504784321032583,0.5244816848302402,3500,0.5146025658934893,0.5050123813497613,0.5244110989566216,3500,0.5156271683554713,0.5058695372608629,0.5252851527124681,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,1.3717075011559895e-06,1.3679132863347019e-06,1.3764560488717897e-06,3500,91602.06564071897,88699.4140544853,94490.5712919219,3500,44.47212779062558,40.811341408441905,48.24530630820644,3500,27.91342857142857,27.867428571428572,27.96,3500
0.0,DSN-30,30,BatchVCG_B20ms,3500,0.9304476190476192,0.9289045238095239,0.9319526190476192,3500,0.9979523723385528,0.9975680977161991,0.9983174133617446,3500,0.5146025658934893,0.5050011741092244,0.5244813898352526,3500,0.5146025658934893,0.5048455024865879,0.5243178903440006,3500,0.5156271683554713,0.506045310023454,0.5253261292366397,3500,0.00023315302601364672,0.0,0.0006341132093647503,3500,0.00023315302601364672,0.0,0.0006711729148525323,3500,0.0002390578247986356,0.0,0.0006610566831672085,3500,1.3516971043178012e-06,1.343648215489728e-06,1.3616761924432856e-06,3500,91621.06562070857,88758.71105959816,94538.76084352135,3500,44.38771108763734,40.69075315277986,48.24760322634954,3500,27.91342857142857,27.867142857142856,27.959142857142858,3500
0.0,DSN-30,30,BatchVCG_B50ms,3500,0.9304476190476192,0.9288857142857144,0.9319428571428573,3500,0.9979523723385528,0.9975721771951029,0.9983097483907377,3500,0.5147584608903071,0.5048617790030558,0.5245483596597503,3500,0.5147584608903071,0.5049257977908339,0.5246516308154805,3500,0.5157830633522891,0.505932926307482,0.5255766358507268,3500,0.0003544743914306281,9.24300607181533e-06,0.0008301149251660072,3500,0.0003544743914306281,9.24300607181533e-06,0.0008210371902529404,3500,0.000360379190215617,9.24300607181533e-06,0.0008420797458482155,3500,1.3215406132595879e-06,1.315673001642738e-06,1.3290622271597386e-06,3500,91651.0655905521,88871.0286433131,94516.94668865076,3500,44.254747628108824,40.52117813514286,48.08237898665726,3500,27.91342857142857,27.866857142857143,27.959142857142858,3500
0.0,DSN-30,30,BatchVCG_B5ms,3500,0.9304476190476192,0.9289047619047621,0.9319809523809524,3500,0.9979523723385528,0.9975660649342857,0.998313137452941,3500,0.5146025658934893,0.5049460759271814,0.5244767164554961,3500,0.5146025658934893,0.5048478146186736,0.5241340280746069,3500,0.5156271683554713,0.5057459305826449,0.5251964565213161,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,1.340615696140698e-06,1.3359007226037128e-06,1.3472980686596462e-06,3500,91606.06560962716,88719.7262419724,94442.88815272081,3500,44.45434262221767,40.7437620575636,48.21953217553689,3500,27.91342857142857,27.866857142857143,27.960285714285714,3500
0.0,DSN-30,30,FastVCG,3500,0.9304476190476192,0.928904761904762,0.9319716666666668,3500,0.9979523723385528,0.997562527019224,0.9983078807242711,3500,0.5146025658934893,0.5045597659648289,0.5240692221875439,3500,0.5146025658934893,0.5046317198881531,0.524209221789651,3500,0.5156271683554713,0.5058234125861258,0.5252053584128223,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,0.0,0.0,0.0,3500,1.3804515557629722e-06,1.3769077270158699e-06,1.3848328896399055e-06,3500,91601.06564946302,88761.30634316604,94572.7839207688,3500,44.47657518345667,40.766388549178494,48.23472898111842,3500,27.91342857142857,27.867142857142856,27.96,3500
0.0,DSN-30,30,HoldBack,3500,0.9304476190476192,0.9288854761904763,0.9319904761904764,3500,0.9979523723385528,0.9975772611257869,0.9983101816845874,3500,0.9979523723385528,0.9975619551643731,0.99831299364062,3500,0.9979523723385528,0.9975631798342232,0.9983108619242077,3500,1.0,1.0,1.0,3500,0.9611347759266453,0.9598829311825574,0.9623199047069213,3500,0.9611347759266453,0.9598733580109319,0.9623821668677044,3500,0.9631046945567309,0.9619127079321286,0.9642693931436654,3500,1.793286097901208e-06,1.7845784580068928e-06,1.804102850811822e-06,3500,1195262.7689806914,1195262.7247500885,1195262.812132925,3500,1.1890566745894735e-49,1.187705543947369e-49,1.1903792711339297e-49,3500,27.91342857142857,27.867142857142856,27.960571428571427,3500
0.0,DSN-30,30,LIA_lambda0.5_per_s,3500,0.9304476190476192,0.928904761904762,0.9319809523809524,3500,0.9979523723385528,0.9975719394840008,0.9983099676016344,3500,0.9109252887718776,0.9070409326828993,0.9148094130169162,3500,0.9109252887718776,0.9070820758883916,0.9147686234818825,3500,0.9127853625351908,0.9088367822923271,0.9166058775322077,3500,0.7884484449213999,0.7831542010608497,0.7936859297241754,3500,0.7884484449213999,0.7830401090059808,0.7936671150773938,3500,0.7900247424982542,0.7845314239320353,0.7953466550836846,3500,5.9650340782744546e-06,5.948273458385042e-06,5.983148229175381e-06,3500,1195261.4448559138,1195261.3794763163,1195261.5086781792,3500,1.0855841387805228e-49,1.0807428291451422e-49,1.09035409760764e-49,3500,27.91342857142857,27.867135714285713,27.959142857142858,3500
0.0,DSN-30,30,LIA_lambda1_per_s,3500,0.9304476190476192,0.9288761904761906,0.932009523809524,3500,0.9979523723385528,0.9975684772338992,0.998301684502786,3500,0.910459739862321,0.9066179563780608,0.9142293167736353,3500,0.910459739862321,0.9065421188180787,0.9142071727213558,3500,0.9123197688923236,0.9084493239689776,0.916151439352831,3500,0.7877870489577595,0.7824950387552294,0.7931190414562104,3500,0.7877870489577595,0.7824391968955147,0.7930309150320656,3500,0.7893621401016923,0.7840216319566472,0.7945872289501099,3500,5.835608446172305e-06,5.81951199897698e-06,5.853121568049703e-06,3500,1195261.444726488,1195261.378933923,1195261.5104337446,3500,1.0850298716387644e-49,1.0802212195206332e-49,1.089719794751016e-49,3500,27.91342857142857,27.867142857142856,27.960571428571427,3500
