eps_ms,topology,bidder_count,mechanism,g1ms,g1ms_ci_low,g1ms_ci_high,sup_g,sup_g_ci_low,sup_g_ci_high,instance_count,bidder_sample_count,delta_grid_ms,g_delta,g_delta_ci_low,g_delta_ci_high
0.0,INTERNET-100,40,LIA_lambda1_per_s,-0.02252068365800577,-0.024644146956449307,-0.020461953175610444,0.0,0.0,0.0,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[-0.02252068365800577, -0.04364679073645059, -0.09160328456277161, -0.13835792474396955, -0.13983008731788404, -0.13996575423793486, -0.13996575423793486]","[-0.024601598817575204, -0.047686025466580344, -0.1023316535245343, -0.15619003031162743, -0.1618482550865688, -0.16187837450303888, -0.16144297699670307]","[-0.020450973237760173, -0.03966214832076698, -0.08042356299286539, -0.119470535449667, -0.11738901146174263, -0.11702690107476678, -0.11795681909426022]"
0.0,INTERNET-100,40,LIA_lambda2_per_s,-0.04493189541917955,-0.04895563881116207,-0.041002232803041355,0.0,0.0,0.0,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[-0.04493189541917955, -0.08528635575200809, -0.17161665917177413, -0.24887644330268502, -0.2506972682719276, -0.25086296994637214, -0.25086296994637214]","[-0.04907364608588911, -0.09296364156721358, -0.19078038914298895, -0.27877040929100605, -0.2888603719790949, -0.28937990176703826, -0.288603892322251]","[-0.04094481355124199, -0.07760319896706339, -0.15221674260982995, -0.2185391425833303, -0.2118455072158855, -0.21208275821818515, -0.21283201481749212]"
0.0,INTERNET-100,50,SyncVCG,0.0,0.0,0.0,0.020680790366395155,0.009614352366759204,0.03410153513926267,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.003089093199686256, 0.004157563463340635, 0.011527037607829404, 0.020680790366395155, 0.020680790366395155, 0.020680790366395155]","[0.0, 0.0, 0.0007135537259779735, 0.003971733184606008, 0.009498727772172835, 0.009248321933448727, 0.009459180246171784]","[0.0, 0.007378150606893289, 0.008888163595124959, 0.021575450612257453, 0.03429351295479008, 0.03411609941006334, 0.03396135724994215]"
0.0,INTERNET-100,50,FastVCG,5.4412097921249325,4.57652616796111,6.355929554218667,213.49210078677578,208.4143562149368,218.5873654390912,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[5.4412097921249325, 12.411099458964864, 37.70764080687248, 126.30565945156746, 213.42040311070627, 213.49210078677578, 213.49210078677578]","[4.568952507497426, 11.083671379551264, 35.34914103153895, 121.88681544672929, 208.47478321225802, 208.49528477264866, 208.48628693347482]","[6.360851519916949, 13.796287793511103, 40.15078770700553, 130.85097534005823, 218.43254576800288, 218.38467208293196, 218.6048912551981]"
0.0,INTERNET-100,50,BatchVCG_B1ms,5.068186392572542,4.327397531093524,5.831379323172335,189.6057588240455,184.64984658343366,194.6449397358701,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[5.068186392572542, 10.842516910845609, 33.52604801927379, 109.4368279994182, 189.41565041570303, 189.6057588240455, 189.6057588240455]","[4.3373868311851815, 9.700860479661761, 31.43105445941591, 105.33089762482456, 184.54134610074928, 184.64020391177627, 184.59805990436385]","[5.842423736375602, 12.001401549227628, 35.69210944817173, 113.51431996545375, 194.30315112732546, 194.61882457913768, 194.57825695250872]"
0.0,INTERNET-100,50,BatchVCG_B5ms,1.3565460781116758,1.056477241364455,1.6771335487292185,39.26991700736202,37.02033690564649,41.588483311963415,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[1.3565460781116758, 2.9595391471269874, 8.91734643637374, 25.622961215700066, 39.26491377289708, 39.26991700736202, 39.26991700736202]","[1.0589464593134075, 2.5054278178065243, 8.105584962145585, 23.94112201205477, 37.06305865062601, 36.92899447774222, 36.96579141827811]","[1.6790404092608835, 3.438713458114326, 9.778375877436185, 27.37704331134523, 41.618310442419975, 41.576528251421266, 41.55988694746997]"
0.0,INTERNET-100,50,BatchVCG_B10ms,0.23066193577726835,0.16714530046218926,0.3031047876782339,2.221738577875107,1.962021529557442,2.490255821795955,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.23066193577726835, 0.46365621097491677, 1.1538907874863447, 1.5148541319609232, 2.221738577875107, 2.221738577875107, 2.221738577875107]","[0.1677405742363287, 0.36538618806319667, 0.9693748585338804, 1.3042976160393305, 1.962202195971283, 1.9612129312728654, 1.962705205014524]","[0.3031076169685282, 0.5726147125197758, 1.3517799235271402, 1.7364279528504545, 2.4952468048064533, 2.486604385767487, 2.4869283019906208]"
0.0,INTERNET-100,50,BatchVCG_B20ms,0.0,0.0,0.0,0.022906254362962692,0.011608547883701184,0.03684638501831509,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.002038317110900666, 0.0033970170495359457, 0.012878231250384512, 0.022906254362962692, 0.022906254362962692, 0.022906254362962692]","[0.0, 0.0, 0.0005059649817241734, 0.004612119134398529, 0.01178139590907108, 0.011851256476232504, 0.01163402097014741]","[0.0, 0.005608986350977824, 0.007622938298773722, 0.023876168186349876, 0.03669834349332407, 0.03642327510403863, 0.036807246317975405]"
0.0,INTERNET-100,50,BatchVCG_B50ms,0.0,0.0,0.0,0.02689178250908494,0.011291499999066083,0.047463604345789064,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.007161864789813418, 0.008375070117776983, 0.012322839466787002, 0.026615675506618936, 0.02689178250908494, 0.02689178250908494]","[0.0, 0.0, 0.0, 0.001708727381638346, 0.011206021208468106, 0.011163306265280977, 0.011173647549343996]","[0.0, 0.021485594369440256, 0.023942335158566037, 0.02966102470490281, 0.04745533071411724, 0.04735647780227751, 0.04696714009777833]"
0.0,INTERNET-100,50,HoldBack,0.0,0.0,0.0,0.015841386602020658,0.008055731824693395,0.02504067596079066,3500,17500,"[1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0]","[0.0, 0.0, 0.0028947045183096896, 0.006488066496047857, 0.015841386602020658, 0.015841386602020658, 0.015841386602020658]","[0.0, 0.0, 0.0, 0.0017757415140290836, 0.008081743049285973, 0.007824974644012038, 0.007686246689099236]","[0.0, 0.0, 0.007571738325669893, 0.01252255143825835, 0.024949436675131435, 0.025135731749070942, 0.025142598528536664]"
