eps_ms,topology,mechanism,n_instances,welfare_ratio_mean,welfare_ratio_ci_low,welfare_ratio_ci_high,welfare_ratio_n,revenue_ratio_mean,revenue_ratio_ci_low,revenue_ratio_ci_high,revenue_ratio_n,compute_time_s_mean,compute_time_s_ci_low,compute_time_s_ci_high,compute_time_s_n,clearing_latency_ms_mean,clearing_latency_ms_ci_low,clearing_latency_ms_ci_high,clearing_latency_ms_n,effective_welfare_mean,effective_welfare_ci_low,effective_welfare_ci_high,effective_welfare_n,clique_number_w_mean,clique_number_w_ci_low,clique_number_w_ci_high,clique_number_w_n
0.0,DSN-30,LIA_lambda2_per_s,5000,0.976638282992665,0.975436083736527,0.9778009786974511,5000,0.9464414690301582,0.9444885027826239,0.9483757645083845,5000,6.754218840505928e-05,6.580694633652456e-05,6.925500587618444e-05,5000,1195263.5424866062,1195263.5201897412,1195263.564567115,5000,1.1940621377969466e-49,1.1924710554711955e-49,1.1956204483540106e-49,5000,344.3674,335.091155,353.505045,5000
0.0,DSN-30,SyncVCG,5000,0.9993639599913735,0.9992339181341472,0.9994820415213331,5000,0.9908583957415605,0.9904233313375564,0.9912700526914136,5000,2.874986408278346e-05,2.790375745855272e-05,2.959270734747406e-05,5000,1195263.7991571522,1195263.785649994,1195263.8125330736,5000,1.2216880512345431e-49,1.2212550032444453e-49,1.2221127456506825e-49,5000,344.3674,335.45682,353.494945,5000
0.0,INTERNET-100,BatchVCG_B0.5ms,5000,0.6022670031250205,0.5946570225920987,0.6100853260201283,5000,0.19321194338928208,0.18569323125998724,0.20097738280176197,5000,1.2220857758074998e-05,1.1915248443838209e-05,1.2528812968521377e-05,5000,2.2560509526665786,2.2213448838060157,2.291101277732843,5000,597.9208578966263,590.1173421546533,605.55536056385,5000,351.1668,342.155985,360.49752500000005,5000
0.0,INTERNET-100,BatchVCG_B10ms,5000,0.9884251331005991,0.9877191837258001,0.9890887578259626,5000,0.9689563912448462,0.9677567612197794,0.9701202406408923,5000,2.0832850597798824e-05,1.9698664204915986e-05,2.264961948210839e-05,5000,11.761279780097944,11.726545119744852,11.795345448875244,5000,979.9955554662633,979.1911815771879,980.7712024389116,5000,351.1668,341.822175,360.42566999999997,5000
0.0,INTERNET-100,BatchVCG_B1ms,5000,0.6828622334619031,0.6758158794863701,0.6901302079779253,5000,0.3584225038117323,0.3498100681623507,0.36707326802012336,5000,1.2301144865341485e-05,1.1987386426771992e-05,1.261025704210624e-05,5000,2.7561312397738447,2.7216884993090167,2.789909691210225,5000,678.0558782052817,670.9375809052398,685.1133832261677,5000,351.1668,342.07469,360.667725,5000
0.0,INTERNET-100,BatchVCG_B2ms,5000,0.7979791792488129,0.7921003229559833,0.8036862509705163,5000,0.591071924619268,0.5828357486424308,0.5992487705876964,5000,1.256826629396528e-05,1.225061632518191e-05,1.2883244354161434e-05,5000,3.756398361202469,3.7214350196859938,3.7907166885967403,5000,792.2581875317509,786.3438709779675,798.0964743347749,5000,351.1668,341.69103,360.380775,5000
0.0,INTERNET-100,BatchVCG_B5ms,5000,0.9337998453622515,0.9311112216050779,0.936504547065965,5000,0.8609516543126648,0.856525933513494,0.8652927602300375,5000,1.4065170148387552e-05,1.3707154113217257e-05,1.4414188698283396e-05,5000,6.7578952650568915,6.723888884702546,6.7924483630506005,5000,926.5182273130774,923.7304640979298,929.2470359553425,5000,351.1668,342.09664999999995,360.450685,5000
0.0,INTERNET-100,FastVCG,5000,0.5017610678787783,0.49351930225121327,0.5097717844643642,5000,0.0,0.0,0.0,5000,1.2178979720920325e-05,1.1862998446449638e-05,1.2494709073798732e-05,5000,1.7560090746294235,1.7218123457085022,1.7907316419356962,5000,497.9696590684554,490.0617922004079,505.8857716160388,5000,351.1668,341.78044,360.46867,5000
0.0,INTERNET-100,HoldBack,5000,0.9996974619110686,0.9996211490327769,0.9997644581924623,5000,0.9916786006039731,0.9913055408098063,0.9920415593825203,5000,2.125620632432401e-05,2.069816104660276e-05,2.181922198680695e-05,5000,16.230326293217217,16.22888205968081,16.231726171676147,5000,990.6818322543608,990.3369582733471,991.0125367545455,5000,351.1668,341.81619,360.55292499999996,5000
0.0,INTERNET-100,LIA_lambda0.25_per_s,5000,0.999625576633342,0.9995483177323161,0.9996948670397912,5000,0.9915479159033234,0.9911863265596739,0.9919002268221921,5000,6.98285827646032e-05,6.802786860265769e-05,7.162035151792226e-05,5000,16.26122886495552,16.258146883143823,16.264310667872834,5000,990.6072639434042,990.2625164267205,990.9420197214956,5000,351.1668,341.93451,360.622255,5000
0.0,INTERNET-100,LIA_lambda0.5_per_s,5000,0.9994801697538672,0.9994032986988391,0.9995507399595844,5000,0.9912763586033034,0.990907538627091,0.9916311711932768,5000,6.897572665475309e-05,6.716873114346526e-05,7.077040017407854e-05,5000,16.260376008845668,16.257273646621815,16.263446246065453,5000,990.4628303173132,990.1261924595865,990.7800208208403,5000,351.1668,341.858575,360.5342,5000
0.0,INTERNET-100,LIA_lambda1_per_s,5000,0.9991463151707325,0.9990644531116462,0.999223526085908,5000,0.9906326467110066,0.9902728180199462,0.9909842077384722,5000,6.908089080825448e-05,6.728852963191458e-05,7.091462281357962e-05,5000,16.26048117299917,16.257315160442875,16.26357373217691,5000,990.1313022596622,989.7873499856163,990.4715932043188,5000,351.1668,341.974305,360.457155,5000
