topology,instance_id,bidder_count,feasible_count,infeasible_count,feasible_fraction,mechanism,horizon_ms,opt_value,winner_id,winner_value,payment,welfare_ratio,revenue_ratio,decision_time_ms,clearing_latency_ms,effective_welfare,compute_time_s,clique_number_w,eps_ms
STARLINK-200,10,1000,953,47,0.953,LIA_lambda1_per_s,69.45258962948427,999.2413135248564,23,997.4475645498738,997.056228272592,0.9982048890986552,0.9978132556944063,69.62260687649656,69.61860035688315,990.5275901087573,0.00017741695046424866,953,0.0
STARLINK-200,10,1000,953,47,0.953,LIA_lambda2_per_s,69.45258962948427,999.2413135248564,720,993.5184456080418,990.6845938913033,0.9942727869240844,0.9914367835699577,69.62556487340886,69.62155835379545,986.6254383028212,0.00018037494737654924,953,0.0
STARLINK-200,11,1000,958,42,0.958,SyncVCG,69.45258962948427,999.4677038693811,469,999.4677038693811,999.205464600857,1.0,0.9997376210681858,69.53413064618215,69.53256133525166,992.5422540429154,8.15410166978836e-05,958,0.0
STARLINK-200,11,1000,958,42,0.958,HoldBack,69.45258962948427,999.4677038693811,469,999.4677038693811,999.205464600857,1.0,0.9997376210681858,69.50950566240206,69.50793635147157,992.5446981796154,5.6916032917797565e-05,958,0.0
STARLINK-200,11,1000,958,42,0.958,LIA_lambda0.25_per_s,69.45258962948427,999.4677038693811,428,999.205464600857,998.1774614698556,0.9997376210681858,0.9987090704436667,69.64457561933222,69.64300630840172,992.2708726730108,0.000193667015992105,958,0.0
STARLINK-200,11,1000,958,42,0.958,LIA_lambda0.5_per_s,69.45258962948427,999.4677038693811,622,995.177006309577,993.6990430884229,0.995707017302117,0.9942282669478711,69.63303362224968,69.63146431131919,988.2715129716762,0.00018212501890957355,958,0.0
STARLINK-200,11,1000,958,42,0.958,LIA_lambda1_per_s,69.45258962948427,999.4677038693811,622,995.177006309577,991.5594386465718,0.995707017302117,0.992087522996298,69.63670058847191,69.63513127754142,988.271150575917,0.00018579198513180017,958,0.0
STARLINK-200,11,1000,958,42,0.958,LIA_lambda2_per_s,69.45258962948427,999.4677038693811,622,995.177006309577,991.189750838088,0.995707017302117,0.9917176382996213,69.64195057024034,69.64038125930985,988.2706317355008,0.00019104196690022945,958,0.0
STARLINK-200,12,1000,959,41,0.959,SyncVCG,69.45258962948427,999.7432712063811,585,999.7432712063811,999.0363206792007,1.0,0.9992928679316567,69.53838166807398,69.53538475956847,992.8156316217401,8.579203858971596e-05,959,0.0
STARLINK-200,12,1000,959,41,0.959,HoldBack,69.45258962948427,999.7432712063811,585,999.7432712063811,999.0363206792007,1.0,0.9992928679316567,69.50775663860693,69.50475973010143,992.8186721271933,5.51670091226697e-05,959,0.0
STARLINK-200,12,1000,959,41,0.959,LIA_lambda0.25_per_s,69.45258962948427,999.7432712063811,595,998.9329811335352,998.0578051999065,0.9991895018489416,0.9983141011747538,69.63293491545475,69.62993800694925,992.0015766465767,0.00018087506759911776,959,0.0
STARLINK-200,12,1000,959,41,0.959,LIA_lambda0.5_per_s,69.45258962948427,999.7432712063811,595,998.9329811335352,997.7534321773068,0.9991895018489416,0.9980096499907689,69.65943488440818,69.65643797590268,991.9989478489616,0.0002073750365525484,959,0.0
STARLINK-200,12,1000,959,41,0.959,LIA_lambda1_per_s,69.45258962948427,999.7432712063811,595,998.9329811335352,998.4075285987482,0.9991895018489416,0.9986639143807179,69.63485181014396,69.63185490163845,992.0013864903395,0.00018279196228832006,959,0.0
STARLINK-200,12,1000,959,41,0.959,LIA_lambda2_per_s,69.45258962948427,999.7432712063811,163,995.7327289992884,993.5877362265159,0.9959884279068433,0.9938428843112518,69.62597677166916,69.62297986316365,988.8242184863551,0.00017391692381352186,959,0.0
STARLINK-200,13,1000,955,45,0.955,SyncVCG,69.45258962948427,999.4270720371557,556,999.4270720371557,998.3489750217801,1.0,0.9989212849586133,69.53563170534179,69.52818765841093,992.5023378426238,8.30420758575201e-05,955,0.0
STARLINK-200,13,1000,955,45,0.955,HoldBack,69.45258962948427,999.4270720371557,556,999.4270720371557,998.3489750217801,1.0,0.9989212849586133,69.50617269173816,69.4987286448073,992.5052616609177,5.358306225389242e-05,955,0.0
STARLINK-200,13,1000,955,45,0.955,LIA_lambda0.25_per_s,69.45258962948427,999.4270720371557,256,998.3489750217801,995.9649289831317,0.9989212849586133,0.9965358722503214,69.62310045022099,69.61565640329013,991.4230387513712,0.0001747499918565154,955,0.0
STARLINK-200,13,1000,955,45,0.955,LIA_lambda0.5_per_s,69.45258962948427,999.4270720371557,256,998.3489750217801,994.689832493157,0.9989212849586133,0.9952600448031265,69.63701650496154,69.62957245803068,991.4216590826034,0.00018866604659706354,955,0.0
STARLINK-200,13,1000,955,45,0.955,LIA_lambda1_per_s,69.45258962948427,999.4270720371557,256,998.3489750217801,993.409521981837,0.9989212849586133,0.993979000345615,69.63472545142798,69.62728140449713,991.4218862226389,0.00018637499306350946,955,0.0
STARLINK-200,13,1000,955,45,0.955,LIA_lambda2_per_s,69.45258962948427,999.4270720371557,256,998.3489750217801,991.9272810936142,0.9989212849586133,0.9924959097533205,69.62155852928339,69.61411448235253,991.4231916209771,0.00017320807091891766,955,0.0
STARLINK-200,14,1000,945,55,0.945,SyncVCG,69.45258962948427,999.6359756602071,996,999.6359756602071,999.1248602305624,1.0,0.9994886984441439,69.53346463412598,69.52524832543718,992.7100858248455,8.087500464171171e-05,945,0.0
STARLINK-200,14,1000,945,55,0.945,HoldBack,69.45258962948427,999.6359756602071,996,999.6359756602071,999.1248602305624,1.0,0.9994886984441439,69.50704766929701,69.49883136060821,992.7127082670517,5.4458039812743664e-05,945,0.0
